applicant_id,age,pays,secteur_activite,revenu_mensuel_xaf,anciennete_emploi,ratio_endettement,historique_credit,nb_credits_actifs,mobile_money_score,zone,date_demande,defaut_paiement,total_montant_xaf,avg_credit_xaf,total_retards,max_retard,nb_credit,nom_partenaire,type_partenaire,pays_partenaire,dernier_statut_credit,seuil_score_partenaire,volume_mensuel_partenaire,nb_credits_defaut_hist,nb_credits_rembourses_hist,nb_credits_restructures_hist,nb_credits_en_cours_hist,taux_defaut_historique,taux_remboursement_historique,jours_depuis_dernier_credit,nb_transaction_mois,volume_entrant,volume_sortant,regularite_score,operateur,anciennete_compte_mois
FIN-1017-1478,32,GAB,Agriculture,316800.0,116.0,0.181,739.0,3,46.2,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1015-1894,57,CAF,Artisanat,179900.0,105.0,0.483,682.0,1,6.2,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,31.0,88000.0,52500.0,87.4,ORANGE,73.0
FIN-1008-1875,59,CMR,Service,48700.0,64.0,1.245,591.0,2,50.2,Rural,2022-01-01,0,90000.0,90000.0,0.0,0.0,1.0,KamoFin GNQ 35,banque,CMR,en_cours,528.0,1018.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,20.0,201200.0,114000.0,57.1,MTN,8.0
FIN-1042-1009,35,CMR,Artisanat,92500.0,0.0,0.397,320.0,2,73.9,Urbain,2022-01-01,0,1045000.0,522500.0,0.0,0.0,2.0,SolidaCredit COG 17,microfinance,CMR,en_cours,676.0,877.0,0.0,1.0,0.0,1.0,0.0,0.5,515.0,58.0,107300.0,84800.0,67.4,ORANGE,55.0
FIN-1043-1712,71,GAB,Service,565700.0,114.0,0.028,712.0,2,94.1,Urbain,2022-01-01,1,530000.0,530000.0,0.0,0.0,1.0,AfriFin CMR 3,mobile_money,CMR,rembourse,674.0,1143.0,0.0,1.0,0.0,0.0,0.0,1.0,410.0,9.0,64700.0,49700.0,60.4,MIXTE,7.0
FIN-1018-1358,28,CMR,Artisanat,30000.0,66.0,0.674,764.0,1,79.8,Urbain,2022-01-01,1,,,,,,,,,,,,,,,,,,,41.0,45500.0,29700.0,59.0,MTN,7.0
FIN-1023-1637,71,COG,Artisanat,89800.0,81.0,0.193,435.0,1,34.9,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,16.0,13800.0,15700.0,58.5,CAMTEL,2.0
FIN-1017-1244,74,CAF,Artisanat,185100.0,117.0,0.199,416.0,2,61.3,Rural,2022-01-01,1,,,,,,,,,,,,,,,,,,,22.0,140800.0,112800.0,95.1,MTN,67.0
FIN-1006-1450,55,CMR,Commerce,252900.0,7.0,0.155,842.0,1,,Urbain,2022-01-01,0,570000.0,285000.0,0.0,0.0,2.0,EsperoFin COG 13,banque,TCD,en_cours,657.0,238.0,0.0,1.0,0.0,1.0,0.0,0.5,17.0,48.0,108000.0,88600.0,62.9,MIXTE,13.0
FIN-1019-1730,59,GAB,Commerce,418700.0,67.0,0.101,609.0,2,79.6,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,41.0,59800.0,33100.0,72.3,ORANGE,64.0
FIN-1046-1636,37,CAF,Artisanat,858900.0,16.0,0.124,333.0,2,40.7,Peri-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,12.0,73800.0,78200.0,40.4,MTN,74.0
FIN-1001-1931,47,GAB,Agriculture,288300.0,96.0,0.284,,0,82.8,Peri-urbain,2022-01-01,1,,,,,,,,,,,,,,,,,,,58.0,48200.0,42900.0,70.1,MTN,61.0
FIN-1017-1757,45,TCD,Commerce,86800.0,24.0,0.048,368.0,2,65.3,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,12.0,23400.0,27300.0,6.8,MTN,82.0
FIN-1007-1279,56,COG,Commerce,56800.0,120.0,0.096,,2,61.7,Peri-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,47.0,108700.0,69200.0,77.1,MIXTE,11.0
FIN-1032-1614,63,CMR,Pastoral,73100.0,83.0,0.499,306.0,2,,Urbain,2022-01-01,1,1035000.0,345000.0,0.0,0.0,3.0,PretRapide GAB 33,cooperative,CMR,rembourse,523.0,61.0,0.0,3.0,0.0,0.0,0.0,1.0,10.0,43.0,134700.0,110700.0,85.1,MTN,1.0
FIN-1012-1002,43,CMR,Commerce,134500.0,72.0,0.409,,0,71.5,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,45.0,25300.0,16200.0,47.5,ORANGE,71.0
FIN-1040-1812,49,CMR,Agriculture,37000.0,8.0,0.556,573.0,0,92.6,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,24.0,57300.0,43700.0,64.0,MTN,48.0
FIN-1033-1984,26,COG,Agriculture,,101.0,1.362,682.0,1,80.3,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,55.0,31900.0,18800.0,61.8,MTN,42.0
FIN-1005-1940,65,COG,Commerce,95200.0,54.0,0.124,335.0,3,37.5,Peri-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,42.0,70800.0,48000.0,92.3,MTN,24.0
FIN-1005-1999,67,CAF,Service,415500.0,47.0,0.387,732.0,2,22.3,Urbain,2022-01-01,0,210000.0,210000.0,0.0,0.0,1.0,EsperoFin COG 12,banque,TCD,rembourse,491.0,574.0,0.0,1.0,0.0,0.0,0.0,1.0,319.0,31.0,34100.0,18800.0,76.1,MIXTE,46.0
FIN-1016-1847,39,CMR,Agriculture,38000.0,105.0,0.669,632.0,3,58.6,Campagne,2022-01-01,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1034-1444,72,GAB,Artisanat,321200.0,1.0,0.289,744.0,3,87.0,Peri-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,14.0,148200.0,118500.0,89.1,MTN,16.0
FIN-1038-1839,56,TCD,Agriculture,257600.0,66.0,0.374,455.0,2,54.3,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,34.0,117400.0,80100.0,78.7,MTN,75.0
FIN-1018-1177,30,CMR,Commerce,407300.0,0.0,0.328,366.0,1,,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,55.0,100300.0,80600.0,81.5,ORANGE,77.0
FIN-1026-1726,34,GAB,Service,182100.0,7.0,0.084,641.0,2,,Peri-urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,35.0,39500.0,32100.0,61.6,MIXTE,9.0
FIN-1039-1417,32,CAF,Elevage,116200.0,62.0,0.385,489.0,0,73.1,Urbain,2022-01-01,0,,,,,,,,,,,,,,,,,,,27.0,98500.0,80600.0,47.5,ORANGE,40.0
FIN-1016-1120,25,CMR,Agriculture,53100.0,97.0,0.518,397.0,0,,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,25.0,53700.0,47600.0,77.5,MTN,46.0
FIN-1033-1989,73,GAB,Commerce,427900.0,0.0,0.437,317.0,3,67.0,Urbain,2022-01-01,1,405000.0,405000.0,0.0,0.0,1.0,PretRapide GAB 29,mobile_money,CMR,rembourse,550.0,160.0,0.0,1.0,0.0,0.0,0.0,1.0,577.0,56.0,46800.0,31400.0,97.2,MTN,54.0
FIN-1043-1841,24,CMR,Agriculture,47600.0,54.0,0.285,451.0,1,89.0,Rural,2022-01-01,0,,,,,,,,,,,,,,,,,,,30.0,198100.0,130300.0,98.7,MTN,53.0
FIN-1021-1448,43,CAF,Commerce,341000.0,0.0,0.151,386.0,3,41.3,Peri-urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1045-1672,72,CMR,Service,258400.0,31.0,0.353,755.0,0,56.2,Rural,2022-01-02,0,210000.0,105000.0,0.0,0.0,2.0,SolidaCredit COG 17,microfinance,CMR,rembourse,676.0,877.0,0.0,2.0,0.0,0.0,0.0,1.0,265.0,,,,,,
FIN-1012-1323,19,CMR,Commerce,296800.0,4.0,0.1,660.0,3,,Peri-urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,39.0,65800.0,40200.0,58.7,MTN,1.0
FIN-1008-1573,40,CMR,Agriculture,38000.0,75.0,0.155,,1,51.1,Urbain,2022-01-02,0,265000.0,132500.0,0.0,0.0,2.0,SolidaCredit COG 17,microfinance,CMR,rembourse,676.0,877.0,0.0,2.0,0.0,0.0,0.0,1.0,602.0,58.0,280600.0,248200.0,93.8,MIXTE,3.0
FIN-1039-1757,60,GAB,Artisanat,106200.0,0.0,0.132,578.0,4,83.2,Urbain,2022-01-02,0,760000.0,253333.3333333333,0.0,0.0,3.0,PretRapide GNQ 24,banque,GAB,rembourse,456.0,868.0,0.0,2.0,0.0,1.0,0.0,0.6666666666666666,135.0,36.0,141400.0,76600.0,96.0,MTN,4.0
FIN-1037-1619,46,CMR,Agriculture,233600.0,64.0,0.467,532.0,0,58.6,Urbain,2022-01-02,0,260000.0,260000.0,0.0,0.0,1.0,MicroFin GNQ 10,microfinance,CMR,en_cours,444.0,313.0,0.0,0.0,0.0,1.0,0.0,0.0,511.0,14.0,,87400.0,77.9,MTN,36.0
FIN-1024-1612,52,CMR,Commerce,345800.0,40.0,0.083,,2,66.9,Peri-urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,9.0,18400.0,10700.0,65.5,MTN,59.0
FIN-1006-1268,36,CMR,Artisanat,,25.0,0.498,705.0,3,63.3,Peri-urbain,2022-01-02,0,120000.0,120000.0,0.0,0.0,1.0,CreditPop TCD 38,microfinance,CMR,rembourse,478.0,588.0,0.0,1.0,0.0,0.0,0.0,1.0,569.0,18.0,65200.0,49500.0,46.0,ORANGE,76.0
FIN-1041-1833,57,GAB,Agriculture,317100.0,22.0,0.589,581.0,1,73.7,Urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,21.0,55400.0,29900.0,95.0,MTN,44.0
FIN-1049-1676,49,CMR,Commerce,96100.0,72.0,0.284,373.0,2,,Urbain,2022-01-02,0,630000.0,630000.0,0.0,0.0,1.0,CapSud CMR 21,cooperative,GNQ,rembourse,625.0,168.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,22.0,36400.0,24100.0,58.1,ORANGE,51.0
FIN-1038-1452,61,CMR,Commerce,70200.0,20.0,0.255,,1,72.9,Peri-urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,35.0,,64600.0,63.3,ORANGE,18.0
FIN-1037-1302,29,RCA,Commerce,53000.0,120.0,0.142,657.0,2,51.1,Urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1029-1083,20,TCD,Artisanat,112000.0,90.0,0.3,812.0,0,,Peri-urbain,2022-01-02,0,660000.0,660000.0,0.0,0.0,1.0,SolidaCredit CAF 1,banque,GAB,rembourse,530.0,1146.0,0.0,1.0,0.0,0.0,0.0,1.0,364.0,17.0,133600.0,93500.0,75.0,ORANGE,22.0
FIN-1002-1643,68,TCD,Commerce,,42.0,0.159,719.0,0,65.0,Rural,2022-01-02,0,650000.0,650000.0,0.0,0.0,1.0,AfriFin GAB 42,mobile_money,COG,rembourse,681.0,444.0,0.0,1.0,0.0,0.0,0.0,1.0,534.0,49.0,110300.0,96500.0,86.3,MTN,1.0
FIN-1003-1251,62,GAB,Commerce,649000.0,89.0,0.301,402.0,2,,Urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,13.0,50100.0,44900.0,68.8,ORANGE,2.0
FIN-1016-1683,53,GAB,Service,549000.0,0.0,0.203,531.0,0,71.0,Urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,27.0,103200.0,80800.0,37.4,ORANGE,64.0
FIN-1020-1993,73,CAF,Elevage,84400.0,26.0,0.144,845.0,0,83.7,Urbain,2022-01-02,0,1110000.0,1110000.0,0.0,0.0,1.0,BarakaCredit GAB 32,microfinance,CMR,rembourse,697.0,1152.0,0.0,1.0,0.0,0.0,0.0,1.0,230.0,,,,,,
FIN-1016-1924,45,COG,Service,439700.0,85.0,0.316,,2,58.7,Urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,24.0,72500.0,45200.0,64.2,ORANGE,73.0
FIN-1036-1046,57,CMR,Commerce,131300.0,53.0,0.231,359.0,1,,Rural,2022-01-02,1,870000.0,290000.0,0.0,0.0,3.0,BarakaCredit COG 28,cooperative,CMR,rembourse,597.0,885.0,0.0,3.0,0.0,0.0,0.0,1.0,150.0,54.0,19500.0,11500.0,41.2,ORANGE,27.0
FIN-1005-1787,64,CAF,Commerce,85700.0,4.0,0.354,435.0,0,44.9,Urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,21.0,42000.0,34000.0,68.7,CAMTEL,33.0
FIN-1045-1537,60,CMR,Service,,5.0,0.089,632.0,2,64.2,Peri-urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,20.0,177600.0,151200.0,,ORANGE,12.0
FIN-1035-1066,66,COG,Agriculture,189900.0,49.0,0.161,,2,79.7,Peri-urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,41.0,31900.0,24800.0,19.2,MTN,56.0
FIN-1030-1196,20,COG,Commerce,162700.0,14.0,0.072,825.0,1,71.5,Rural,2022-01-02,0,55000.0,55000.0,0.0,0.0,1.0,SolidaCredit CMR 41,microfinance,CMR,en_cours,582.0,252.0,0.0,0.0,0.0,1.0,0.0,0.0,579.0,32.0,74600.0,57700.0,62.3,MIXTE,83.0
FIN-1024-1251,75,COG,Agriculture,109900.0,83.0,0.196,,1,,Urbain,2022-01-02,0,910000.0,455000.0,0.0,0.0,2.0,PretRapide GNQ 7,cooperative,COG,rembourse,514.0,651.0,0.0,2.0,0.0,0.0,0.0,1.0,373.0,,,,,,
FIN-1004-1887,25,COG,Commerce,271900.0,80.0,0.418,,1,80.0,Urbain,2022-01-02,0,1125000.0,375000.0,0.0,0.0,3.0,CapSud CAF 38,mobile_money,CAF,rembourse,536.0,444.0,0.0,2.0,0.0,1.0,0.0,0.6666666666666666,129.0,18.0,259700.0,197700.0,31.6,MTN,17.0
FIN-1025-1623,26,CMR,Service,104300.0,68.0,0.155,688.0,1,,Urbain,2022-01-02,0,125000.0,125000.0,0.0,0.0,1.0,MicroFin CAF 47,microfinance,COG,rembourse,482.0,473.0,0.0,1.0,0.0,0.0,0.0,1.0,298.0,,,,,,
FIN-1032-1998,36,CMR,Artisanat,119600.0,0.0,0.425,525.0,3,41.3,Peri-urbain,2022-01-02,0,,,,,,,,,,,,,,,,,,,50.0,80700.0,65600.0,89.6,MTN,16.0
FIN-1000-1190,37,TCD,Commerce,30000.0,67.0,2.946,400.0,4,72.4,Rural,2022-01-02,0,520000.0,260000.0,0.0,0.0,2.0,NovaMoney CAF 33,microfinance,GAB,rembourse,483.0,193.0,0.0,2.0,0.0,0.0,0.0,1.0,335.0,,,,,,
FIN-1033-1304,73,CMR,Commerce,128400.0,14.0,1.047,338.0,4,25.3,Rural,2022-01-02,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1009-1288,44,CMR,Elevage,340200.0,74.0,0.117,598.0,1,57.8,Urbain,2022-01-02,0,985000.0,492500.0,0.0,0.0,2.0,AllianceFin TCD 18,mobile_money,GAB,rembourse,637.0,179.0,0.0,2.0,0.0,0.0,0.0,1.0,288.0,13.0,95500.0,66600.0,87.4,MIXTE,57.0
FIN-1009-1628,41,TCD,Agriculture,,0.0,0.817,,2,39.4,Rural,2022-01-02,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1041-1173,21,CMR,Artisanat,943500.0,77.0,2.415,482.0,2,51.6,Rural,2022-01-02,0,,,,,,,,,,,,,,,,,,,55.0,53600.0,31500.0,85.2,ORANGE,57.0
FIN-1040-1310,61,CMR,Commerce,185600.0,29.0,0.59,485.0,1,60.9,Rural,2022-01-03,0,,,,,,,,,,,,,,,,,,,36.0,48800.0,38300.0,81.6,MTN,16.0
FIN-1027-1462,39,CMR,Artisanat,204200.0,91.0,0.346,333.0,0,,Peri-urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,10.0,108200.0,56200.0,94.9,ORANGE,14.0
FIN-1007-1735,63,CMR,Commerce,37100.0,53.0,0.237,825.0,0,25.8,Semi-urbain,2022-01-03,0,845000.0,422500.0,0.0,0.0,2.0,BarakaCredit CAF 35,banque,CAF,rembourse,684.0,501.0,0.0,2.0,0.0,0.0,0.0,1.0,421.0,30.0,108400.0,89700.0,63.1,MTN,4.0
FIN-1035-1102,23,GAB,Artisanat,170900.0,52.0,0.151,710.0,2,67.3,Urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,14.0,297900.0,344400.0,29.7,MTN,60.0
FIN-1005-1277,25,COG,Commerce,134500.0,106.0,0.648,331.0,0,60.3,Urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,26.0,46100.0,26000.0,78.0,MTN,53.0
FIN-1017-1658,60,CMR,Artisanat,37000.0,79.0,0.322,681.0,2,,Peri-urbain,2022-01-03,1,,,,,,,,,,,,,,,,,,,43.0,20900.0,15100.0,64.4,MTN,74.0
FIN-1021-1291,36,CMR,Commerce,195200.0,61.0,0.65,508.0,1,71.3,Urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,45.0,27800.0,22300.0,92.8,MTN,78.0
FIN-1033-1418,35,CMR,Artisanat,74500.0,114.0,0.45,553.0,2,,Rural,2022-01-03,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1006-1845,27,CMR,Artisanat,88200.0,0.0,0.267,373.0,1,,Urbain,2022-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1028-1331,33,CMR,Commerce,521700.0,43.0,0.177,813.0,2,22.0,Peri-urbain,2022-01-03,0,325000.0,325000.0,0.0,0.0,1.0,KamoFin CMR 44,microfinance,TCD,rembourse,708.0,692.0,0.0,1.0,0.0,0.0,0.0,1.0,558.0,,,,,,
FIN-1021-1959,24,COG,Commerce,30000.0,40.0,0.579,549.0,0,60.9,Urbain,2022-01-03,1,,,,,,,,,,,,,,,,,,,27.0,327700.0,270000.0,88.3,ORANGE,70.0
FIN-1001-1899,75,CMR,Agriculture,178500.0,18.0,0.371,384.0,2,51.3,Peri-urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,24.0,57100.0,33100.0,91.4,ORANGE,80.0
FIN-1035-1731,64,CAF,Agriculture,90300.0,88.0,0.008,,4,32.3,Rural,2022-01-03,1,,,,,,,,,,,,,,,,,,,18.0,104300.0,65600.0,86.5,MIXTE,54.0
FIN-1028-1808,29,CMR,Artisanat,183800.0,55.0,0.508,539.0,0,61.2,Urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1030-1298,54,CAF,Service,203900.0,113.0,0.189,602.0,2,43.6,Peri-urbain,2022-01-03,0,1350000.0,1350000.0,0.0,0.0,1.0,EsperoFin TCD 32,microfinance,CMR,rembourse,570.0,383.0,0.0,1.0,0.0,0.0,0.0,1.0,220.0,,,,,,
FIN-1023-1652,18,TCD,Service,152400.0,82.0,0.371,624.0,0,,Urbain,2022-01-03,0,1180000.0,1180000.0,0.0,0.0,1.0,BarakaCredit GNQ 34,mobile_money,CMR,rembourse,646.0,544.0,0.0,1.0,0.0,0.0,0.0,1.0,423.0,34.0,168300.0,113100.0,82.6,MTN,50.0
FIN-1047-1418,48,GAB,Commerce,596400.0,0.0,0.072,624.0,0,74.6,Rural,2022-01-03,0,615000.0,205000.0,0.0,0.0,3.0,PretRapide CAF 25,mobile_money,CAF,en_cours,718.0,282.0,0.0,2.0,0.0,1.0,0.0,0.6666666666666666,55.0,51.0,20700.0,11100.0,79.2,MTN,25.0
FIN-1010-1358,53,COG,Agriculture,57200.0,18.0,0.303,446.0,3,22.3,Rural,2022-01-03,0,115000.0,115000.0,0.0,0.0,1.0,NovaMoney COG 39,banque,CMR,en_cours,668.0,1062.0,0.0,0.0,0.0,1.0,0.0,0.0,483.0,,,,,,
FIN-1017-1467,24,CMR,Agriculture,388300.0,57.0,0.262,793.0,2,87.7,Urbain,2022-01-03,0,100000.0,100000.0,0.0,0.0,1.0,CapSud CAF 10,microfinance,CMR,rembourse,451.0,1086.0,0.0,1.0,0.0,0.0,0.0,1.0,95.0,36.0,65000.0,53800.0,66.3,MTN,76.0
FIN-1049-1570,59,CMR,Artisanat,89100.0,32.0,0.269,388.0,2,46.8,Urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1009-1710,33,CAF,Commerce,124700.0,115.0,1.934,417.0,1,3.3,Urbain,2022-01-03,0,1610000.0,1610000.0,0.0,0.0,1.0,SolidaCredit GAB 36,microfinance,CMR,rembourse,590.0,630.0,0.0,1.0,0.0,0.0,0.0,1.0,472.0,49.0,34900.0,29300.0,52.5,MIXTE,22.0
FIN-1048-1300,35,CMR,Artisanat,88100.0,39.0,0.06,816.0,3,83.8,Urbain,2022-01-03,1,290000.0,145000.0,0.0,0.0,2.0,NovaMoney CMR 31,mobile_money,GAB,rembourse,707.0,630.0,0.0,1.0,0.0,1.0,0.0,0.5,153.0,57.0,84900.0,70900.0,91.4,MTN,25.0
FIN-1009-1244,33,CMR,Commerce,227100.0,90.0,0.521,543.0,2,66.7,Urbain,2022-01-03,0,345000.0,345000.0,0.0,0.0,1.0,CapSud CAF 37,banque,CMR,en_cours,456.0,178.0,0.0,0.0,0.0,1.0,0.0,0.0,642.0,40.0,158300.0,121400.0,88.6,MTN,37.0
FIN-1009-1269,32,TCD,Elevage,62600.0,45.0,0.292,489.0,3,92.5,Peri-urbain,2022-01-03,1,215000.0,215000.0,0.0,0.0,1.0,ZenithMicro GNQ 36,microfinance,GAB,en_cours,667.0,209.0,0.0,0.0,0.0,1.0,0.0,0.0,667.0,35.0,114700.0,71700.0,81.7,ORANGE,36.0
FIN-1027-1444,68,CMR,Agriculture,194500.0,30.0,0.16,621.0,2,47.5,Rural,2022-01-03,0,1595000.0,797500.0,0.0,0.0,2.0,FondasFin GNQ 33,mobile_money,GAB,en_cours,639.0,572.0,0.0,1.0,0.0,1.0,0.0,0.5,466.0,55.0,34900.0,30600.0,,CAMTEL,25.0
FIN-1046-1405,69,CMR,Agriculture,117100.0,36.0,2.115,,1,,Urbain,2022-01-03,0,340000.0,340000.0,0.0,0.0,1.0,ZenithMicro GAB 6,banque,CAF,rembourse,569.0,635.0,0.0,1.0,0.0,0.0,0.0,1.0,706.0,,,,,,
FIN-1014-1630,52,CMR,Elevage,314200.0,44.0,0.583,,1,90.9,Urbain,2022-01-03,0,70000.0,70000.0,0.0,0.0,1.0,FondasFin CMR 23,microfinance,CMR,rembourse,571.0,424.0,0.0,1.0,0.0,0.0,0.0,1.0,478.0,49.0,81400.0,57500.0,79.4,ORANGE,38.0
FIN-1039-1022,62,TCD,Commerce,118400.0,95.0,0.435,778.0,3,32.9,Urbain,2022-01-03,0,1210000.0,1210000.0,0.0,0.0,1.0,FondasFin COG 2,microfinance,CAF,rembourse,632.0,144.0,0.0,1.0,0.0,0.0,0.0,1.0,278.0,14.0,166400.0,103800.0,82.6,CAMTEL,49.0
FIN-1008-1039,39,CAF,Agriculture,300000.0,99.0,0.209,,3,78.6,Urbain,2022-01-03,0,,,,,,,,,,,,,,,,,,,42.0,19300.0,15700.0,54.3,ORANGE,67.0
FIN-1022-1248,59,TCD,Commerce,364500.0,19.0,0.106,622.0,1,64.1,Peri-urbain,2022-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,
FIN-1021-1644,43,CMR,Agriculture,43400.0,12.0,0.278,381.0,2,57.2,Urbain,2022-01-03,1,,,,,,,,,,,,,,,,,,,5.0,32100.0,37000.0,32.0,MIXTE,30.0
FIN-1012-1408,67,COG,Commerce,301000.0,9.0,0.15,808.0,2,,Rural,2022-01-03,0,940000.0,940000.0,0.0,0.0,1.0,BarakaCredit CAF 35,banque,COG,rembourse,555.0,458.0,0.0,1.0,0.0,0.0,0.0,1.0,212.0,47.0,129000.0,101200.0,79.4,CAMTEL,31.0
FIN-1027-1098,45,TCD,Agriculture,198500.0,,0.243,455.0,1,74.1,Urbain,2022-01-03,0,470000.0,470000.0,0.0,0.0,1.0,FondasFin COG 2,microfinance,CAF,rembourse,632.0,144.0,0.0,1.0,0.0,0.0,0.0,1.0,417.0,,,,,,
FIN-1008-1810,45,CAF,Commerce,266600.0,101.0,0.099,781.0,3,34.7,Urbain,2022-01-03,0,790000.0,263333.3333333333,0.0,0.0,3.0,KamoFin TCD 21,banque,CMR,rembourse,509.0,983.0,0.0,2.0,0.0,1.0,0.0,0.6666666666666666,1.0,42.0,82800.0,58300.0,69.3,MTN,74.0
FIN-1004-1811,40,COG,Commerce,428500.0,116.0,0.15,751.0,2,,Rural,2022-01-04,0,370000.0,185000.0,8.0,107.0,2.0,KamoFin TCD 45,banque,TCD,restructure,717.0,420.0,1.0,0.0,1.0,0.0,0.5,0.0,278.0,7.0,16500.0,15200.0,38.9,MIXTE,78.0
