applicant_id,age,pays,secteur_activite,revenu_mensuel_xaf,anciennete_emploi,ratio_endettement,historique_credit,nb_credits_actifs,mobile_money_score,zone,date_demande,total_montant_xaf,avg_credit_xaf,total_retards,max_retard,nb_credit,nom_partenaire,type_partenaire,pays_partenaire,dernier_statut_credit,seuil_score_partenaire,volume_mensuel_partenaire,nb_credits_defaut_hist,nb_credits_rembourses_hist,nb_credits_restructures_hist,nb_credits_en_cours_hist,taux_defaut_historique,taux_remboursement_historique,jours_depuis_dernier_credit,nb_transaction_mois,volume_entrant,volume_sortant,regularite_score,operateur,anciennete_compte_mois,flag_primo_demandeur,flag_no_credit_history,flag_anciennete_emploi_missing,score_regularite_pondere,flux_sortant_sur_revenu,anciennete_credit_normalisee,indice_surendettement,revenu_par_credit_actif,anomaly_score,is_anomaly,defaut_paiement
FIN-1038-1917,30,CMR,Commerce,725000.0,72.0,0.467,,7,,Peri-urbain,2025-09-29,5350000.0,2675000.0,5.0,69.0,2.0,AllianceFin CMR 39,banque,GNQ,restructure,695.0,253.0,1.0,0.0,1.0,0.0,0.5,0.0,1752.0,17.0,54500.0,59100.0,11.4,MTN,51.0,1,0,0,45.04417839182828,0.0815172413793103,0.0005704506560182,0.0,90625.0,0.07068200251919754,1,0
FIN-1047-1296,49,COG,Service,30000.0,31.0,0.411,341.0,3,92.0,Semi-urbain,2023-12-25,1320000.0,330000.0,13.0,76.0,4.0,MicroFin GAB 39,banque,CMR,defaut,627.0,1057.0,2.0,0.0,2.0,0.0,0.5,0.0,4.0,14.0,70400.0,64700.0,10.6,MIXTE,72.0,0,0,0,45.47887007617295,2.1566666666666667,0.2,0.0,7500.0,0.07011336103208665,1,1
FIN-1047-1222,39,CMR,Commerce,1118900.0,91.0,0.151,,0,93.5,Urbain,2024-01-27,1650000.0,550000.0,11.0,89.0,3.0,PretRapide CAF 22,microfinance,CMR,defaut,516.0,418.0,3.0,0.0,0.0,0.0,1.0,0.0,390.0,7.0,16100.0,16200.0,23.2,MTN,3.0,1,1,0,32.16202917798146,0.0144785056752167,0.0025575447570332,0.0,1118900.0,0.06986116988592117,1,0
FIN-1026-1165,44,TCD,Commerce,106400.0,76.0,2.827,312.0,1,59.4,Urbain,2024-06-30,575000.0,287500.0,6.0,95.0,2.0,PretRapide CMR 39,mobile_money,GAB,defaut,557.0,647.0,1.0,0.0,1.0,0.0,0.5,0.0,655.0,11.0,424600.0,416300.0,49.5,MTN,55.0,0,0,0,199.25490869138991,3.912593984962406,0.0015243902439024,1.827,53200.0,0.06969926206357757,1,0
FIN-1009-1492,35,TCD,Artisanat,218700.0,34.0,0.076,,0,72.1,Rural,2025-06-23,3870000.0,3870000.0,7.0,106.0,1.0,NovaMoney CMR 14,banque,COG,defaut,533.0,709.0,1.0,0.0,0.0,0.0,1.0,0.0,1942.0,7.0,34500.0,35700.0,28.3,MTN,3.0,1,1,0,39.23213041969291,0.1632373113854595,0.0005146680391147,0.0,218700.0,0.06943494289723362,1,0
FIN-1033-1956,70,CMR,Agriculture,347600.0,111.0,0.393,,1,,Peri-urbain,2023-09-14,1730000.0,432500.0,18.0,119.0,4.0,SolidaCredit GNQ 5,cooperative,CMR,defaut,584.0,240.0,3.0,0.0,1.0,0.0,0.75,0.0,369.0,9.0,336700.0,395300.0,61.5,MTN,79.0,1,0,0,269.4946380324437,1.1372266973532796,0.0027027027027027,0.0,173800.0,0.06932728858084103,1,0
FIN-1035-1404,44,TCD,Agriculture,76200.0,20.0,0.378,731.0,0,19.6,Peri-urbain,2023-10-26,1835000.0,458750.0,19.0,112.0,4.0,BarakaCredit CAF 10,banque,COG,defaut,635.0,1067.0,3.0,0.0,1.0,0.0,0.75,0.0,8.0,17.0,38300.0,38800.0,25.0,MIXTE,14.0,0,1,0,67.70125502755525,0.5091863517060368,0.1111111111111111,0.0,76200.0,0.06926353773854754,1,0
FIN-1034-1017,51,CMR,Service,84000.0,60.0,2.37,516.0,2,88.5,Rural,2025-10-18,2770000.0,692500.0,13.0,72.0,4.0,AllianceFin COG 8,banque,GAB,defaut,663.0,709.0,1.0,0.0,3.0,0.0,0.25,0.0,1516.0,13.0,51900.0,52700.0,25.1,MIXTE,58.0,0,0,0,102.34618984203355,0.6273809523809524,0.000659195781147,1.37,28000.0,0.06906023194925637,1,0
FIN-1012-1270,42,TCD,Artisanat,1736200.0,35.0,0.192,422.0,0,70.6,Peri-urbain,2023-01-07,810000.0,270000.0,10.0,117.0,3.0,KamoFin CMR 10,banque,GNQ,defaut,454.0,1004.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.0,83.0,11.0,106800.0,122500.0,9.2,MIXTE,8.0,0,1,0,20.21446611149322,0.0705563875129593,0.0119047619047619,0.0,1736200.0,0.06809304647580072,1,0
FIN-1001-1833,44,CMR,Commerce,1481400.0,119.0,0.32,793.0,0,93.5,Peri-urbain,2023-02-24,520000.0,260000.0,12.0,114.0,2.0,NovaMoney CAF 29,cooperative,GAB,defaut,643.0,399.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,7.0,34600.0,35000.0,12.9,ORANGE,16.0,0,1,0,36.54845213832519,0.0236262994464695,0.0333333333333333,0.0,1481400.0,0.06764402986176965,1,0
FIN-1033-1375,72,COG,Artisanat,81000.0,2.0,0.31,754.0,0,80.7,Peri-urbain,2025-04-19,740000.0,185000.0,22.0,110.0,4.0,AllianceFin TCD 18,mobile_money,GAB,restructure,637.0,179.0,3.0,0.0,1.0,0.0,0.75,0.0,7.0,2.0,51400.0,59600.0,22.4,ORANGE,55.0,0,1,0,90.16787787246734,0.7358024691358025,0.125,0.0,81000.0,0.06623072464462587,1,0
FIN-1041-1935,53,COG,Service,1229900.0,30.0,0.297,824.0,1,39.0,Peri-urbain,2025-07-13,1235000.0,411666.6666666667,15.0,109.0,3.0,AfriFin GAB 9,banque,CMR,restructure,674.0,1152.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,42.0,3.0,253000.0,269600.0,37.1,MIXTE,66.0,0,0,0,155.99409617940483,0.2192048133994633,0.0232558139534883,0.0,614950.0,0.06531551236401112,1,0
FIN-1027-1942,19,CMR,Agriculture,30000.0,113.0,0.727,720.0,4,47.9,Rural,2025-11-06,2130000.0,710000.0,13.0,47.0,3.0,KamoFin CMR 10,banque,GNQ,restructure,454.0,1004.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.0,269.0,8.0,197800.0,177300.0,15.4,ORANGE,62.0,0,0,0,63.8042747864296,5.91,0.0037037037037037,0.0,6000.0,0.06501303510217582,1,0
FIN-1029-1130,70,GAB,Commerce,,25.0,0.117,,3,11.9,Urbain,2024-12-06,1065000.0,355000.0,15.0,97.0,3.0,CapSud CAF 38,mobile_money,CAF,defaut,536.0,444.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.0,538.0,5.0,284200.0,284500.0,13.9,MTN,59.0,1,0,0,56.9113894148872,,0.0018552875695732,0.0,,0.06472658098951767,1,0
FIN-1005-1759,21,CMR,Agriculture,184600.0,43.0,2.736,331.0,2,74.5,Urbain,2024-04-20,1600000.0,400000.0,21.0,96.0,4.0,SolidaCredit COG 8,microfinance,CMR,defaut,514.0,104.0,3.0,0.0,1.0,0.0,0.75,0.0,377.0,11.0,36700.0,41800.0,52.7,MTN,2.0,0,0,0,57.89686761280938,0.2264355362946912,0.0026455026455026,1.7360000000000002,61533.333333333336,0.06452244218480385,1,1
FIN-1044-1076,66,CAF,Commerce,341900.0,70.0,0.066,822.0,4,45.5,Urbain,2024-11-07,2005000.0,334166.6666666667,17.0,95.0,6.0,EsperoFin GAB 36,banque,GAB,restructure,594.0,413.0,5.0,0.0,1.0,0.0,0.8333333333333334,0.0,85.0,11.0,231900.0,230100.0,50.0,ORANGE,13.0,0,0,0,131.95286648076294,0.6730038022813688,0.0116279069767441,0.0,68380.0,0.06323138208146029,1,0
FIN-1041-1048,37,GAB,Artisanat,1865700.0,16.0,0.409,,2,97.5,Urbain,2025-08-22,1135000.0,283750.0,11.0,112.0,4.0,AfriFin COG 37,microfinance,GAB,defaut,513.0,23.0,3.0,0.0,1.0,0.0,0.75,0.0,788.0,18.0,22100.0,24600.0,18.7,MTN,33.0,1,0,0,65.94294181032222,0.0131853995819263,0.0012674271229404,0.0,621900.0,0.06314813487895043,1,0
FIN-1025-1549,18,GAB,Commerce,468800.0,10.0,,791.0,0,,Peri-urbain,2023-10-06,3825000.0,1275000.0,8.0,87.0,3.0,KamoFin CMR 10,banque,GNQ,restructure,454.0,1004.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,463.0,17.0,42400.0,38100.0,4.8,ORANGE,45.0,0,1,0,18.377478703147656,0.0812713310580204,0.0021551724137931,0.0,468800.0,0.06295778164848953,1,0
FIN-1010-1502,47,CMR,Service,218500.0,106.0,0.105,,0,58.9,Rural,2025-05-20,1935000.0,483750.0,13.0,112.0,4.0,SolidaCredit GAB 9,banque,CMR,defaut,493.0,125.0,3.0,0.0,1.0,0.0,0.75,0.0,19.0,13.0,66800.0,57300.0,12.4,CAMTEL,16.0,1,1,0,35.13184546629708,0.2622425629290618,0.05,0.0,218500.0,0.06231359543237025,1,0
FIN-1002-1081,33,CMR,Commerce,106100.0,75.0,2.311,362.0,3,66.1,Urbain,2022-10-23,900000.0,225000.0,15.0,100.0,4.0,BarakaCredit CMR 48,mobile_money,CAF,defaut,597.0,1069.0,4.0,0.0,0.0,0.0,1.0,0.0,115.0,18.0,16100.0,13900.0,24.0,MTN,75.0,0,0,0,103.93760016687196,0.1310084825636192,0.0086206896551724,1.311,26525.0,0.06172489494760691,1,0
FIN-1009-1992,55,CMR,Agriculture,84400.0,20.0,0.685,837.0,0,62.5,Peri-urbain,2024-02-11,1435000.0,358750.0,16.0,99.0,4.0,SolidaCredit COG 17,microfinance,CMR,defaut,676.0,877.0,2.0,0.0,2.0,0.0,0.5,0.0,398.0,14.0,119900.0,143300.0,0.2,MTN,2.0,0,1,0,0.2197224577336219,1.697867298578199,0.0025062656641604,0.0,84400.0,0.06121330122079727,1,0
FIN-1009-1052,24,TCD,Artisanat,631400.0,77.0,0.035,374.0,0,,Urbain,2024-02-11,2955000.0,2955000.0,4.0,98.0,1.0,CreditPop GAB 17,microfinance,CMR,defaut,694.0,634.0,1.0,0.0,0.0,0.0,1.0,0.0,135.0,4.0,122000.0,142500.0,22.4,ORANGE,75.0,0,1,0,97.0084268224138,0.2256889452011403,0.0073529411764705,0.0,631400.0,0.061108523182279106,1,0
FIN-1030-1802,47,CMR,Agriculture,71500.0,0.0,0.033,,3,79.3,Urbain,2024-06-03,1050000.0,262500.0,16.0,114.0,4.0,AllianceFin TCD 26,mobile_money,TCD,restructure,456.0,931.0,3.0,0.0,1.0,0.0,0.75,0.0,17.0,17.0,49700.0,50200.0,18.7,MIXTE,29.0,1,0,0,63.60239103708231,0.7020979020979021,0.0555555555555555,0.0,17875.0,0.06082067246962197,1,0
FIN-1008-1687,56,CMR,Artisanat,733700.0,33.0,0.442,565.0,1,,Urbain,2025-05-13,1530000.0,382500.0,18.0,117.0,4.0,MicroFin CMR 14,microfinance,CAF,restructure,678.0,1144.0,3.0,0.0,1.0,0.0,0.75,0.0,10.0,6.0,34800.0,41200.0,16.0,ORANGE,79.0,0,0,0,70.1124261547821,0.0561537413111626,0.0909090909090909,0.0,366850.0,0.060728831098796454,1,0
FIN-1012-1603,18,CMR,Service,96800.0,82.0,0.549,,3,60.7,Peri-urbain,2025-12-03,4845000.0,1615000.0,13.0,74.0,3.0,SolidaCredit GAB 23,microfinance,COG,defaut,565.0,761.0,3.0,0.0,0.0,0.0,1.0,0.0,571.0,11.0,181900.0,174000.0,52.2,MTN,65.0,1,0,0,218.69997753377945,1.7975206611570247,0.0017482517482517,0.0,24200.0,0.0603748954769292,1,1
FIN-1033-1576,75,CMR,Artisanat,271500.0,68.0,0.389,783.0,0,78.1,Urbain,2023-09-26,2650000.0,662500.0,14.0,104.0,4.0,SolidaCredit CAF 9,cooperative,CMR,defaut,611.0,318.0,2.0,0.0,2.0,0.0,0.5,0.0,113.0,6.0,19100.0,21000.0,21.0,ORANGE,74.0,0,1,0,90.66725038426252,0.0773480662983425,0.0087719298245614,0.0,271500.0,0.06011685584855275,1,0
FIN-1000-1759,32,CMR,Agriculture,109800.0,101.0,0.236,525.0,3,90.4,Rural,2024-12-26,1640000.0,410000.0,21.0,110.0,4.0,MicroFin CMR 14,microfinance,CAF,restructure,678.0,1144.0,1.0,0.0,3.0,0.0,0.25,0.0,238.0,14.0,168900.0,165200.0,19.0,ORANGE,40.0,0,0,0,70.55786926738185,1.5045537340619308,0.00418410041841,0.0,27450.0,0.059993598914712565,1,0
FIN-1019-1546,26,GAB,Service,165000.0,,0.083,729.0,3,65.6,Urbain,2025-03-21,1000000.0,250000.0,16.0,81.0,4.0,SolidaCredit CAF 1,banque,GAB,restructure,530.0,1146.0,1.0,0.0,3.0,0.0,0.25,0.0,1281.0,13.0,7200.0,7200.0,14.8,ORANGE,74.0,0,0,1,63.89882408033739,0.0436363636363636,0.000780031201248,0.0,41250.0,0.05910806542297231,1,0
FIN-1007-1530,24,CMR,Commerce,226500.0,48.0,0.451,369.0,0,49.4,Urbain,2025-08-23,3265000.0,544166.6666666666,23.0,71.0,6.0,BarakaCredit TCD 5,cooperative,COG,defaut,522.0,175.0,5.0,0.0,1.0,0.0,0.8333333333333334,0.0,128.0,8.0,85400.0,73600.0,53.2,MIXTE,70.0,0,1,0,226.774569458598,0.3249448123620309,0.0077519379844961,0.0,226500.0,0.05868316712111743,1,0
